year,month,amo_value
1999,11,-0.039
2000,11,-0.043
2001,11,0.166
2002,11,0.03
2003,11,0.23399999999999999
2004,11,0.23199999999999998
2005,11,0.151
2006,11,0.3
2007,11,0.187
2008,11,0.012
2009,11,0.081
2010,11,0.247
2011,11,-0.059000000000000004
2012,11,0.177
2013,11,0.14
2014,11,0.077
2015,11,0.198
2016,11,
1948,12,0.069
1949,12,0.124
1950,12,0.095
1951,12,0.18100000000000002
1952,12,0.34700000000000003
1953,12,0.265
1954,12,-0.044000000000000004
1955,12,0.263
1956,12,0.026000000000000002
1957,12,0.086
1958,12,0.226
1959,12,0.11599999999999999
1960,12,0.14400000000000002
1961,12,0.22
1962,12,0.19699999999999998
1963,12,-0.054000000000000006
1964,12,-0.115
1965,12,-0.11699999999999999
1966,12,0.087
1967,12,-0.146
1968,12,-0.121
1969,12,-0.025
1970,12,-0.203
1971,12,-0.302
1972,12,-0.344
1973,12,-0.23
1974,12,-0.353
1975,12,-0.314
1976,12,-0.424
1977,12,-0.196
1978,12,-0.17300000000000001
1979,12,-0.05
1980,12,-0.239
1981,12,0.009000000000000001
1982,12,-0.365
1983,12,0.013000000000000001
1984,12,-0.302
1985,12,-0.321
1986,12,-0.35600000000000004
1987,12,0.059000000000000004
1988,12,-0.151
1989,12,-0.141
1990,12,-0.024
1991,12,-0.20199999999999999
1992,12,-0.27399999999999997
1993,12,-0.28300000000000003
1994,12,-0.081
1995,12,0.051
1996,12,-0.145
1997,12,0.141
1998,12,0.289
1999,12,0.025
2000,12,-0.11699999999999999
2001,12,0.22399999999999998
2002,12,0.015
2003,12,0.235
2004,12,0.198
2005,12,0.22699999999999998
2006,12,0.182
2007,12,0.122
2008,12,0.03
2009,12,0.094
2010,12,0.21899999999999997
2011,12,-0.033
2012,12,0.153
2013,12,0.048
2014,12,0.07
2015,12,0.24100000000000002
2016,12,
